run_id,date,shift,line_id,machine_id,work_order_id,planned_runtime_min,units_produced,units_defective,defect_rate
RUN-1,2024-01-01,Day,P1-L1,M-102,WO-1001,480,261,9,0.0377
RUN-2,2024-01-01,Evening,P1-L1,M-103,WO-1368,480,360,7,0.0197
RUN-3,2024-01-01,Night,P1-L1,M-103,WO-1603,480,324,11,0.0358
RUN-4,2024-01-01,Day,P1-L2,M-104,WO-1169,480,252,7,0.0304
RUN-5,2024-01-01,Evening,P1-L2,M-105,WO-1128,480,312,9,0.0298
RUN-6,2024-01-01,Night,P1-L2,M-105,WO-1674,480,362,16,0.0469
RUN-7,2024-01-01,Day,P1-L3,M-109,WO-1394,480,319,7,0.0238
RUN-8,2024-01-01,Evening,P1-L3,M-108,WO-1574,480,344,15,0.0458
RUN-9,2024-01-01,Night,P1-L3,M-108,WO-1226,480,331,5,0.0174
RUN-10,2024-01-01,Day,P2-L1,M-113,WO-1010,480,295,7,0.0251
RUN-11,2024-01-01,Evening,P2-L1,M-111,WO-1120,480,202,4,0.0237
RUN-12,2024-01-01,Night,P2-L1,M-113,WO-1330,480,301,5,0.0196
RUN-13,2024-01-01,Day,P2-L2,M-115,WO-1430,480,331,8,0.0247
RUN-14,2024-01-01,Evening,P2-L2,M-115,WO-1197,480,327,7,0.0218
RUN-15,2024-01-01,Night,P2-L2,M-117,WO-1806,480,326,2,0.0087
RUN-16,2024-01-01,Day,P2-L3,M-119,WO-1145,480,221,6,0.0275
RUN-17,2024-01-01,Evening,P2-L3,M-119,WO-1030,480,312,2,0.0081
RUN-18,2024-01-01,Night,P2-L3,M-120,WO-1885,480,282,3,0.0141
RUN-19,2024-01-01,Day,P3-L1,M-122,WO-1306,480,323,6,0.0203
RUN-20,2024-01-01,Evening,P3-L1,M-122,WO-1890,480,311,12,0.0398
RUN-21,2024-01-01,Night,P3-L1,M-121,WO-1620,480,234,4,0.0176
RUN-22,2024-01-01,Day,P3-L2,M-124,WO-1813,480,205,4,0.0237
RUN-23,2024-01-01,Evening,P3-L2,M-124,WO-1882,480,363,6,0.0172
RUN-24,2024-01-01,Night,P3-L2,M-125,WO-1271,480,344,3,0.0107
RUN-25,2024-01-01,Day,P3-L3,M-128,WO-1342,480,274,5,0.0191
RUN-26,2024-01-01,Evening,P3-L3,M-129,WO-1231,480,225,0,0.001
RUN-27,2024-01-01,Night,P3-L3,M-128,WO-1417,480,282,13,0.0466
RUN-28,2024-01-02,Day,P1-L1,M-103,WO-1540,480,384,15,0.0416
RUN-29,2024-01-02,Evening,P1-L1,M-102,WO-1320,480,373,10,0.0278
RUN-30,2024-01-02,Night,P1-L1,M-102,WO-1767,480,259,10,0.0403
RUN-31,2024-01-02,Day,P1-L2,M-105,WO-1824,480,261,6,0.0251
RUN-32,2024-01-02,Evening,P1-L2,M-104,WO-1497,480,260,2,0.0079
RUN-33,2024-01-02,Night,P1-L2,M-105,WO-1459,480,295,11,0.0399
RUN-34,2024-01-02,Day,P1-L3,M-109,WO-1193,480,261,9,0.0349
RUN-35,2024-01-02,Evening,P1-L3,M-107,WO-1129,480,404,15,0.0378
RUN-36,2024-01-02,Night,P1-L3,M-109,WO-1511,480,331,7,0.0225
RUN-37,2024-01-02,Day,P2-L1,M-113,WO-1587,480,284,6,0.0216
RUN-38,2024-01-02,Evening,P2-L1,M-111,WO-1497,480,283,5,0.0181
RUN-39,2024-01-02,Night,P2-L1,M-112,WO-1815,480,276,11,0.04
