run_date,line_id,plant_id,planned_runtime_min,downtime_minutes,units_produced,units_defective,availability,performance,quality,oee,downtime_cost_usd,scrap_cost_usd,lost_production_revenue_usd
2024-01-15,P2-L3,P2,1440,40,890,31,0.9722,0.8476,0.9652,0.7954,3200.0,682,1166.67
2024-01-21,P3-L3,P3,1440,201,831,14,0.8604,0.7914,0.9832,0.6695,16080.0,308,5862.5
2024-01-26,P1-L3,P1,1440,128,862,13,0.9111,0.821,0.9849,0.7367,10240.0,286,3733.33
2024-02-13,P2-L1,P2,1440,67,896,26,0.9535,0.8533,0.971,0.79,5360.0,572,1954.17
2024-02-23,P3-L3,P3,1440,64,1028,22,0.9556,0.979,0.9786,0.9155,5120.0,484,1866.67
2024-03-02,P3-L1,P3,1440,140,894,24,0.9028,0.8514,0.9732,0.748,9800.0,528,4083.33
2024-01-01,P3-L3,P3,1440,0,781,18,1.0,0.7438,0.977,0.7267,0.0,396,0.0
2024-01-02,P2-L3,P2,1440,0,914,22,1.0,0.8705,0.9759,0.8495,0.0,484,0.0
2024-01-04,P3-L1,P3,1440,0,982,23,1.0,0.9352,0.9766,0.9133,0.0,506,0.0
2024-01-05,P2-L1,P2,1440,0,922,21,1.0,0.8781,0.9772,0.8581,0.0,462,0.0
2024-01-07,P1-L3,P1,1440,0,948,27,1.0,0.9029,0.9715,0.8771,0.0,594,0.0
2024-01-07,P2-L2,P2,1440,0,945,31,1.0,0.9,0.9672,0.8705,0.0,682,0.0
2024-01-08,P1-L2,P1,1440,0,949,29,1.0,0.9038,0.9694,0.8762,0.0,638,0.0
2024-01-08,P2-L3,P2,1440,0,853,13,1.0,0.8124,0.9848,0.8,0.0,286,0.0
2024-01-09,P1-L1,P1,1440,0,966,31,1.0,0.92,0.9679,0.8905,0.0,682,0.0
2024-01-09,P2-L1,P2,1440,0,801,19,1.0,0.7629,0.9763,0.7448,0.0,418,0.0
2024-01-09,P3-L2,P3,1440,0,879,22,1.0,0.8371,0.975,0.8162,0.0,484,0.0
2024-01-11,P3-L1,P3,1440,0,920,31,1.0,0.8762,0.9663,0.8467,0.0,682,0.0
2024-01-12,P2-L1,P2,1440,0,879,17,1.0,0.8371,0.9807,0.821,0.0,374,0.0
2024-01-12,P3-L1,P3,1440,0,862,22,1.0,0.821,0.9745,0.8,0.0,484,0.0
2024-01-13,P1-L3,P1,1440,0,880,22,1.0,0.8381,0.975,0.8171,0.0,484,0.0
2024-01-14,P1-L1,P1,1440,0,785,18,1.0,0.7476,0.9771,0.7305,0.0,396,0.0
2024-01-16,P2-L1,P2,1440,0,939,20,1.0,0.8943,0.9787,0.8752,0.0,440,0.0
2024-01-16,P2-L2,P2,1440,0,918,34,1.0,0.8743,0.963,0.8419,0.0,748,0.0
2024-01-18,P1-L1,P1,1440,0,963,20,1.0,0.9171,0.9792,0.8981,0.0,440,0.0
2024-01-18,P1-L2,P1,1440,0,1015,31,1.0,0.9667,0.9695,0.9371,0.0,682,0.0
2024-01-20,P3-L3,P3,1440,0,873,19,1.0,0.8314,0.9782,0.8133,0.0,418,0.0
2024-01-22,P2-L1,P2,1440,0,899,30,1.0,0.8562,0.9666,0.8276,0.0,660,0.0
2024-01-23,P2-L2,P2,1440,0,939,27,1.0,0.8943,0.9712,0.8686,0.0,594,0.0
2024-01-24,P1-L1,P1,1440,0,932,25,1.0,0.8876,0.9732,0.8638,0.0,550,0.0
2024-01-29,P2-L2,P2,1440,0,829,14,1.0,0.7895,0.9831,0.7762,0.0,308,0.0
2024-01-29,P3-L2,P3,1440,0,858,15,1.0,0.8171,0.9825,0.8029,0.0,330,0.0
2024-01-31,P1-L1,P1,1440,0,874,33,1.0,0.8324,0.9622,0.801,0.0,726,0.0
2024-01-31,P3-L1,P3,1440,0,877,33,1.0,0.8352,0.9624,0.8038,0.0,726,0.0
2024-02-04,P3-L1,P3,1440,0,909,22,1.0,0.8657,0.9758,0.8448,0.0,484,0.0
2024-02-05,P1-L1,P1,1440,0,798,24,1.0,0.76,0.9699,0.7371,0.0,528,0.0
2024-02-05,P3-L2,P3,1440,0,1024,32,1.0,0.9752,0.9688,0.9448,0.0,704,0.0
2024-02-06,P3-L3,P3,1440,0,861,27,1.0,0.82,0.9686,0.7943,0.0,594,0.0
2024-02-07,P1-L3,P1,1440,0,1011,41,1.0,0.9629,0.9594,0.9238,0.0,902,0.0
2024-02-07,P2-L1,P2,1440,0,789,21,1.0,0.7514,0.9734,0.7314,0.0,462,0.0
2024-02-07,P2-L2,P2,1440,0,960,18,1.0,0.9143,0.9813,0.8971,0.0,396,0.0
2024-02-08,P3-L1,P3,1440,0,911,19,1.0,0.8676,0.9791,0.8495,0.0,418,0.0
2024-02-10,P3-L1,P3,1440,0,935,34,1.0,0.8905,0.9636,0.8581,0.0,748,0.0
2024-02-11,P3-L3,P3,1440,0,811,21,1.0,0.7724,0.9741,0.7524,0.0,462,0.0
2024-02-12,P3-L1,P3,1440,0,1049,45,1.0,0.999,0.9571,0.9562,0.0,990,0.0
2024-02-13,P2-L2,P2,1440,0,884,14,1.0,0.8419,0.9842,0.8286,0.0,308,0.0
2024-02-14,P1-L3,P1,1440,0,1016,36,1.0,0.9676,0.9646,0.9333,0.0,792,0.0
2024-02-19,P2-L2,P2,1440,0,999,37,1.0,0.9514,0.963,0.9162,0.0,814,0.0
2024-02-20,P2-L3,P2,1440,0,897,30,1.0,0.8543,0.9666,0.8257,0.0,660,0.0
2024-02-20,P3-L1,P3,1440,0,838,21,1.0,0.7981,0.9749,0.7781,0.0,462,0.0
2024-02-21,P1-L2,P1,1440,0,963,37,1.0,0.9171,0.9616,0.8819,0.0,814,0.0
2024-02-21,P2-L3,P2,1440,0,989,22,1.0,0.9419,0.9778,0.921,0.0,484,0.0
2024-02-21,P3-L3,P3,1440,0,901,25,1.0,0.8581,0.9723,0.8343,0.0,550,0.0
2024-02-23,P3-L1,P3,1440,0,902,19,1.0,0.859,0.9789,0.841,0.0,418,0.0
2024-02-24,P3-L3,P3,1440,0,1011,21,1.0,0.9629,0.9792,0.9429,0.0,462,0.0
2024-02-25,P1-L1,P1,1440,0,963,33,1.0,0.9171,0.9657,0.8857,0.0,726,0.0
2024-02-25,P3-L3,P3,1440,0,940,12,1.0,0.8952,0.9872,0.8838,0.0,264,0.0
2024-02-27,P1-L2,P1,1440,0,871,19,1.0,0.8295,0.9782,0.8114,0.0,418,0.0
2024-02-28,P1-L2,P1,1440,0,899,12,1.0,0.8562,0.9867,0.8448,0.0,264,0.0
2024-02-28,P2-L1,P2,1440,0,1010,39,1.0,0.9619,0.9614,0.9248,0.0,858,0.0
2024-02-28,P2-L2,P2,1440,0,974,21,1.0,0.9276,0.9784,0.9076,0.0,462,0.0
2024-02-28,P2-L3,P2,1440,0,966,39,1.0,0.92,0.9596,0.8829,0.0,858,0.0
2024-02-29,P1-L3,P1,1440,0,863,30,1.0,0.8219,0.9652,0.7933,0.0,660,0.0
2024-03-02,P2-L3,P2,1440,0,895,29,1.0,0.8524,0.9676,0.8248,0.0,638,0.0
2024-03-03,P1-L1,P1,1440,0,922,23,1.0,0.8781,0.9751,0.8562,0.0,506,0.0
2024-03-06,P1-L1,P1,1440,0,816,19,1.0,0.7771,0.9767,0.759,0.0,418,0.0
2024-03-06,P1-L2,P1,1440,0,948,27,1.0,0.9029,0.9715,0.8771,0.0,594,0.0
2024-03-06,P1-L3,P1,1440,0,893,29,1.0,0.8505,0.9675,0.8229,0.0,638,0.0
2024-03-06,P2-L2,P2,1440,0,937,34,1.0,0.8924,0.9637,0.86,0.0,748,0.0
2024-03-07,P3-L1,P3,1440,0,844,20,1.0,0.8038,0.9763,0.7848,0.0,440,0.0
2024-03-10,P2-L3,P2,1440,0,1014,14,1.0,0.9657,0.9862,0.9524,0.0,308,0.0
2024-03-11,P1-L1,P1,1440,0,882,30,1.0,0.84,0.966,0.8114,0.0,660,0.0
2024-03-12,P2-L1,P2,1440,0,1044,22,1.0,0.9943,0.9789,0.9733,0.0,484,0.0
2024-03-13,P1-L1,P1,1440,0,917,23,1.0,0.8733,0.9749,0.8514,0.0,506,0.0
2024-03-14,P2-L1,P2,1440,0,890,22,1.0,0.8476,0.9753,0.8267,0.0,484,0.0
2024-03-14,P3-L3,P3,1440,0,933,21,1.0,0.8886,0.9775,0.8686,0.0,462,0.0
2024-03-15,P2-L1,P2,1440,0,945,38,1.0,0.9,0.9598,0.8638,0.0,836,0.0
2024-03-16,P1-L3,P1,1440,0,938,29,1.0,0.8933,0.9691,0.8657,0.0,638,0.0
2024-03-16,P2-L3,P2,1440,0,935,29,1.0,0.8905,0.969,0.8629,0.0,638,0.0
2024-03-17,P3-L3,P3,1440,0,894,24,1.0,0.8514,0.9732,0.8286,0.0,528,0.0
2024-03-18,P3-L3,P3,1440,0,965,32,1.0,0.919,0.9668,0.8886,0.0,704,0.0
2024-03-19,P1-L1,P1,1440,112,1008,19,0.9222,0.96,0.9812,0.8686,6720.0,418,3266.67
2024-03-19,P1-L3,P1,1440,0,965,26,1.0,0.919,0.9731,0.8943,0.0,572,0.0
